Covidence #,DOI,Title,Authors,Published Year,Journal,Purpose,Vascular Disease/Procedure,Data Source,Period Start,Period end,Ground Truth,Image Type,Input,Output,Sample Size,Event Size,CV Architecture,Explainability?,Validation Method,Train/Test/Validate,Outcomes,External Validation Outcomes,Participants,Predictors,Outcomes_probast,Analysis,Overall,"Title (prediction, population, outcome)","Abstract  (objectives, design, predictors, outcome, stats, results)",Background (rationale),Objectives,Data (Source),Data (Dates),Participants (setting),Participants (eligibility),Paritcipants (treatments),Data Preparation (similar/diff b/w groups?),"Outcome (definition, timing)",Outcome (subjective),Outcome (blind),Analysis (use: eval of model performance?),Analysis (predictors handling: transforms etc.),"Analysis (model rationale, hyperparam)",Analysis (heterogeneity),Analysis (measures and plots),Analysis (model updating),Analysis (predictions calculation),Class Imbalance methods,Fairness,"Model Output (if classification, what threshold ID?)","Model specification (how to use, differences for healthcare)","Particiapants (number of participants with/without outcome, follow-up, ?diagram)","Participants (characteristics, number with missing data)","Model development (# of participants, event rate)","Model specification (formula, code, program)","Model performance (CI,)",Model updating (results),Interpretation,Limitations,Usability (poor input),Usability (interaction/expertise),Usability (future steps),Ethical approval,Funding,Conflicts of Intereset,Protocol,Registration,Data sharing,Code sharing,Patient and Public involvement,,,,,,,
#399,https://dx.doi.org/10.3390/jcdd9100326,Attention-Based UNet Deep Learning Model for Plaque Segmentation in Carotid Ultrasound for Stroke Risk Stratification: An Artificial Intelligence Paradigm.,"Jain, Pankaj K; Dubey, Abhishek; Saba, Luca; Khanna, Narender N; Laird, John R; Nicolaides, Andrew; Fouda, Mostafa M; Suri, Jasjit S; Sharma, Neeraj",2022,Journal of cardiovascular development and disease,Segmentation,Carotid stenosis,Public,,,Sonographer + cardiologist (LIB and MAB and plaque),US,Carotid US,Segmentation of LIB and MAB for ICA/CCA and plaque segmentation,679,N/A,Unet,,5-fold cross validation,80/20,Correlation coeff=0.96,0,u,l,l,l,u,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#411,https://dx.doi.org/10.1007/s13755-022-00194-8,Holistic multi-class classification & grading of diabetic foot ulcerations from plantar thermal images using deep learning.,"Muralidhara, Shishir; Lucieri, Adriano; Dengel, Andreas; Ahmed, Sheraz",2022,Health information science and systems,Diagnosis,Diabetic Foot,Public,NR,NR,Scoring system. Unclear who (authors),Thermograph,Thermograph of foot,Non-DM ulcer vs. DM ulcer (and split into 5 severity classes),167,45,CNN,0,5-fold cross validation,NR,"acc=0.9827, sens=0.9684, spec=0.9892",0,u,l,h,h,h,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,,,,,,,
#416,https://dx.doi.org/10.7717/peerj-cs.1033,A retrospective study of 3D deep learning approach incorporating coordinate information to improve the segmentation of pre- and post-operative abdominal aortic aneurysm.,"Siriapisith, Thanongchai; Kusakunniran, Worapan; Haddawy, Peter",2022,PeerJ. Computer science,Segmentation,AAA,Retrospective (single),NR,NR,Radiologist,CT,NCCT and CTA  of axial aorta,Segmented aorta,200,N/A,"Ensemble: UNet, AG-DSV-UNet, VNet, ResNetMed and DenseVoxNet",0,,90/10',DC=0.9713,1,l,l,l,l,l,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#424,https://dx.doi.org/10.1016/j.jvscit.2022.04.003,Development of a convolutional neural network to detect abdominal aortic aneurysms.,"Camara, Justin R; Tomihama, Roger T; Pop, Andrew; Shedd, Matthew P; Dobrowski, Brandon S; Knox, Cole J; Abou-Zamzam, Ahmed M Jr; Kiang, Sharon C",2022,Journal of vascular surgery cases and innovative techniques,Diagnosis,AAA (infrarenal),Retrospective (single),2015,2020,Database,CTA ,CTA of aorta,Classification: AAA or not,400,200,VGG-16,1 (grad-CAM),NR,60/30/10',"acc=0.991, AUROC=0.99",0,l,l,h,l,h,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,,,,,,,
#432,https://dx.doi.org/10.1007/978-3-030-94907-5_6,Classification of Infection and Ischemia in Diabetic Foot Ulcers Using VGG Architectures.,"Guley, Orhun; Pati, Sarthak; Bakas, Spyridon",2022,"Diabetic foot ulcers grand challenge : second challenge, DFUC 2021, held in conjunction with MICCAI 2021, Strasbourg, France, September 27, 2021 : proceedings. DFUC (Conference) (2nd : 2021 : Online)",Diagnosis,Diabetic Foot,Public,NR,NR,Public ,Skin images,Foot ulcer images,"Classificaiton: infection, ischemia, both, controls",15863,N/A,VGG  ,0,5-fold cross validation,50/50',"acc=0.64, AUC=0.87, f1=0.561",0,u,l,u,h,h,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,,,,,,,
#435,https://dx.doi.org/10.1148/ryai.210076,Quantification of the Thoracic Aorta and Detection of Aneurysm at CT: Development and Validation of a Fully Automatic Methodology.,"Macruz, Fabiola Bezerra de Carvalho; Lu, Charles; Strout, Julia; Takigami, Angelo; Brooks, Rupert; Doyle, Sean; Yun, Min; Buch, Varun; Hedgire, Sandeep; Ghoshhajra, Brian",2022,Radiology. Artificial intelligence,Segmentation + Quantification + Diagnosis,Aortic aneurysm,Retrospective (single),2019,2021,Radiologiy,CT ,CT of thoracic aorta,"Segmentation, (non-ML) maximal aorta diameter, then diagnosis of aneurysm",315,N/A,U-net,0,NR,50/50',"MAE=2.7mm, correlation coeff=0.91, acc=0.88",1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,,,,,,,
#438,https://dx.doi.org/10.3390/bioengineering9030086,Automatic Segmentation of Monofilament Testing Sites in Plantar Images for Diabetic Foot Management.,"Costa, Tatiana; Coelho, Luis; Silva, Manuel F",2022,"Bioengineering (Basel, Switzerland)",Segmentation,Diabetic Foot,Prospective,N/A,N/A,NR,Skin images,Foot soles,Segmentation of feet followed by Segmentation of the 9 sites for  monofilament testing sites (SWME),90,N/A,U-net,0,NR,NR,Acc=0.80,0,l,l,h,h,h,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,,,,,,,
#445,https://dx.doi.org/10.1016/j.apples.2022.100104,Artificial intelligence framework to predict wall stress in abdominal aortic aneurysm.,"Chung, Timothy K; Liang, Nathan L; Vorp, David A",2022,Applications in engineering science,Segmentation + Quantification,AAA,Retrospective (single),NR,NR,Authors: established method for segmentation and wall stress,CT,CT of aorta,Segmentation of aorta followed by quantification of wall stress,10,N/A,U-net,0,NR,NR,"aacc=0.998, prec=0.972, ",0,h,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
#448,https://dx.doi.org/10.3389/fnagi.2021.828214,Performance Analysis of Machine Learning and Deep Learning Architectures on Early Stroke Detection Using Carotid Artery Ultrasound Images.,"Latha, S; Muthu, P; Lai, Khin Wee; Khalil, Azira; Dhanalakshmi, Samiappan",2021,Frontiers in aging neuroscience,Diagnosis,Carotid stenosis,Prospective,N/A,N/A,NR,US,Carotid US,Classification: sx or asx,361,159,"Ensemble: CART, RF, LR, CNN, Mobilent Capsulnet",0,NR,80/20,"acc=0.9141, acc=0.967",0,h,l,l,h,h,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,,,,,,,
#456,https://dx.doi.org/10.3390/diagnostics11122257,Unseen Artificial Intelligence-Deep Learning Paradigm for Segmentation of Low Atherosclerotic Plaque in Carotid Ultrasound: A Multicenter Cardiovascular Study.,"Jain, Pankaj K; Sharma, Neeraj; Saba, Luca; Paraskevas, Kosmas I; Kalra, Mandeep K; Johri, Amer; Laird, John R; Nicolaides, Andrew N; Suri, Jasjit S",2021,"Diagnostics (Basel, Switzerland)",Segmentation,Carotid stenosis,Retrospective (multi),NR,NR,Cardiologist,US,Carotid US,Segmentation of atheroscleroic wall with  plaque,630,N/A,Unet,0,NR,50/50,"acc=0.9855, DC=0.7838, correlation coeff=0.80",0,l,l,l,l,l,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#461,https://dx.doi.org/10.3390/diagnostics11112131,Automated Screening for Abdominal Aortic Aneurysm in CT Scans under Clinical Conditions Using Deep Learning.,"Golla, Alena-K; Tonnes, Christian; Russ, Tom; Bauer, Dominik F; Froelich, Matthias F; Diehl, Steffen J; Schoenberg, Stefan O; Keese, Michael; Schad, Lothar R; Zollner, Frank G; Rink, Johann S",2021,"Diagnostics (Basel, Switzerland)",Diagnosis,AAA,Retrospective (single),NR,NR,2 radiologists,CT,CT of aorta,Classification: AAA or not,187,100,"Ensemble: ResNet, VGG-16 and AlexNet",1 (relevance map),5-fold cross validation,80/5/15',"acc=0.856, AUROC=0.926",1,h,l,l,l,h,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#462,https://dx.doi.org/10.3390/diagnostics11112109,Ten Fast Transfer Learning Models for Carotid Ultrasound Plaque Tissue Characterization in Augmentation Framework Embedded with Heatmaps for Stroke Risk Stratification.,"Sanagala, Skandha S; Nicolaides, Andrew; Gupta, Suneet K; Koppula, Vijaya K; Saba, Luca; Agarwal, Sushant; Johri, Amer M; Kalra, Manudeep S; Suri, Jasjit S",2021,"Diagnostics (Basel, Switzerland)",Diagnosis,Carotid stenosis,Retrospective (single),NR,NR,Physician team,US,Carotid US,Classification: sx or asx,346,196,Ensemble: 11. Transfer learning,1 (grad-CAM),10-fold cross validation,90/10',AUROC=0.961,0,u,l,u,l,u,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#470,https://dx.doi.org/10.1109/ojemb.2021.3092207,Comprehensive Assessment of Fine-Grained Wound Images Using a Patch-Based CNN With Context-Preserving Attention.,"Liu, Ziyang; Agu, Emmanuel; Pedersen, Peder; Lindsay, Clifford; Tulu, Bengisu; Strong, Diane",2021,IEEE open journal of engineering in medicine and biology,Diagnosis,Leg ulcer (Diabetic foot),Public,NR,NR,Public ,Skin images,"Images of Diabetic, pressure, vascular and surgical ulcers","Classification: Photographic Wound assessment tool (PWAT) (0, 1, 2, 3, 4,)",1639,N/A,DesNet,0,5-fold cross validation,90/10',f1=0.80,0,u,l,h,l,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,,,,,,,
#475,https://dx.doi.org/10.3390/jcm10153347,Automated Segmentation of the Human Abdominal Vascular System Using a Hybrid Approach Combining Expert System and Supervised Deep Learning.,"Lareyre, Fabien; Adam, Cedric; Carrier, Marion; Raffort, Juliette",2021,Journal of clinical medicine,Segmentation,General (vscular tress segmentation,Other Uni dataset  ,NR,NR,1 expert,CTA,CT of abdominal,"Segmentation of lumen,  thrombus, spine",93,N/A,Unet,0,5-fold cross validation,85/15,"DC=0.8592, acc=0.8793",0,u,l,u,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#490,https://dx.doi.org/10.1016/j.jvssci.2019.12.003,Machine deep learning accurately detects endoleak after endovascular abdominal aortic aneurysm repair.,"Hahn, Sage; Perry, Mark; Morris, Christopher S; Wshah, Safwan; Bertges, Daniel J",2020,JVS-vascular science,Detection+Segmentation+Diagnosis,"EVAR, endoleaks",Retrospective (single),2006,2018,"Radiologist, 2 vascular specialist",CTA,CT of aorta,Bounding boxes around aneurysm. Either direct diagnosis (ResNet). Or Segmentation then Diagnosis,191 (334 images),,"Detection: RetinaNet (CNN). Diagnosis: ResNet, Unet",,5-fold cross validation,,Detection: acc=0.99. Diagnosis: AUROC=0.94. Diameter error=2.3 mm. AAA and endograft volume: DC=0.95. Endoleak volume: DC=0.53,0,l,l,l,l,l,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,
#491,https://dx.doi.org/10.1148/ryct.2020190179,CT-based True- and False-Lumen Segmentation in Type B Aortic Dissection Using Machine Learning.,"Hahn, Lewis D; Mistelbauer, Gabriel; Higashigaito, Kai; Koci, Martin; Willemink, Martin J; Sailer, Anna M; Fischbein, Michael; Fleischmann, Dominik",2020,Radiology. Cardiothoracic imaging,Segmentation + Quantification,Type B Aortic Dissection,Retrospective (single),2003,2017,Radiologist (4),CTA,CT of aorta,Segmentation followed by calculation of diameter and cross sectional area,45 (153 images),N/A,CNN,0,NR,67/18/15,"DC=0.887",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,
#509,https://dx.doi.org/10.1002/mp.16350,"Supervised segmentation for guiding peripheral revascularization with forward-viewing, robotically steered ultrasound guidewire.","Collins, Graham C; Strassle Rojas, Stephan; Bercu, Zachary L; Desai, Jaydev P; Lindsey, Brooks D",2023,Medical physics,Segmentation (robotic),PAD ,Simulated dataset (phantom and porcine),N/A,N/A,CTA  of the phantoms,US,"B-mode US via synthetic aperture focusing, simulated","Segmentat vessel wall and occlusion, then calculate diameter",2500,N/A,Unet,0,NR,85/5/10',"Sens=0.95, f1=0.96",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,,,,,,,
#512,https://dx.doi.org/10.1016/j.compbiomed.2023.106569,Automatic segmentation of abdominal aortic aneurysms from CT angiography using a context-aware cascaded U-Net.,"Mu, Nan; Lyu, Zonghan; Rezaeitaleshmahalleh, Mostafa; Zhang, Xiaoming; Rasmussen, Todd; McBane, Robert; Jiang, Jingfeng",2023,Computers in biology and medicine,Segmentation,AAA,Retrospective (single),N/A,N/A,2 experts,CTA,CTA of aorta,Segment lumen and thrombosis,70,N/A,mod Unet,0,5-fold cross validation,80/20,"DC=0.8745",0,h,l,l,l,h,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,,
#520,https://dx.doi.org/10.1016/j.compmedimag.2023.102246,BP-Net: Boundary and perfusion feature guided dual-modality ultrasound video analysis network for fibrous cap integrity assessment.,"Li, Leyin; Hu, Zhaoyu; Huang, Yunqian; Zhu, Wenqian; Zhao, Chengqian; Wang, Yuanyuan; Chen, Man; Yu, Jinhua",2023,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,Segmentation,Carotid stenosis,Retrospective (single),NR,NR,"3 diagnosticians (classification), radiologists (segmentation)",US,B-mode US and Contrast Enchanced US videos,"Segmentation of plaque, classification into ulcerated/fibrous cap",245,143,Multi-modal CNN,1 (attention maps),5-fold cross validation,80/20,"acc=0.9235, AUROC=0.935",0,h,l,l,l,h,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,
#523,https://dx.doi.org/10.1115/1.4062539,Framework Development for Patient-Specific Compliant Aortic Dissection Phantom Model Fabrication: Magnetic Resonance Imaging Validation and Deep-Learning Segmentation.,"Aghilinejad, Arian; Wei, Heng; Bilgi, Coskun; Paredes, Alberto; DiBartolomeo, Alexander; Magee, Gregory A; Pahlevan, Niema M",2023,Journal of biomechanical engineering,Segmentation,Type B Aortic Dissection,Retrospective (single),NR,NR,Expert,CT,CT (3d) of aorta,Segmentation of true and false lumen. They would then construct phantoms of these models to test them out. ,19,N/A,"Ensemble: Unet, DeepLab, Mask-RCNN",,NR,80/20,DC=0.86,0,l,l,l,h,h,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#526,https://dx.doi.org/10.1016/j.compbiomed.2023.107002,Segment aorta and localize landmarks simultaneously on noncontrast CT using a multitask learning framework for patients without severe vascular disease.,"Yang, Jinrong; Li, Xiang; Cheng, Jie-Zhi; Xue, Zhong; Shi, Feng; Ji, Yuqing; Wang, Xuechun; Yang, Fan",2023,Computers in biology and medicine,Segmentation,General (aorta segmentation),Retrospective (single),2019,2019,NR,CT,Unenhanced chest CT and CTA,Aorta segmentation + localization of 9 key landmarks,162,N/A,Unet + Squeeze-and-excitation,0,NR,64/25/11,"DC=0.95, HD=2.13 mm, MSE=3.23",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,
#545,https://dx.doi.org/10.1016/j.compmedimag.2023.102219,Semi-supervised aortic dissections segmentation: A time-dependent weighted feedback fusion framework.,"Zhang, Jinhui; Liu, Jian; Wei, Siyi; Chen, Duanduan; Xiong, Jiang; Gao, Feng",2023,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,Segmentation,Type B Aortic Dissection,Public,NR,NR,1 expert (few labelled data),CT,CT of aorta,"Segmentation of TL, FL and branches",100,N/A,"custom, Feedback loops, SEMI-SUPERVISED",,NR,80/20,"DC=0.8977, ",0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,,,,,,,
#552,https://dx.doi.org/10.3390/s23052806,3D Ultrasound Reconstructions of the Carotid Artery and Thyroid Gland Using Artificial-Intelligence-Based Automatic Segmentation-Qualitative and Quantitative Evaluation of the Segmentation Results via Comparison with CT Angiography.,"Arsenescu, Tudor; Chifor, Radu; Marita, Tiberiu; Santoma, Andrei; Lebovici, Andrei; Duma, Daniel; Vacaras, Vitalie; Badea, Alexandru Florin",2023,"Sensors (Basel, Switzerland)",Segmentation,Carotid stenosis,Prospective (single),NR,NR,"CTA, radiologist for classification",US,3D US   ,"Segmentation of wall, lumen, soft plaque, calcified plaque, thyroid",3 (several frames),,MultiResUnet,0,NR,80/10/10',"IoU=0.80, DC=0.94",0,h,l,u,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
#553,https://dx.doi.org/10.3934/mbe.2023074,Ultrasound carotid plaque segmentation via image reconstruction-based self-supervised learning with limited training labels.,"Zhou, Ran; Ou, Yanghan; Fang, Xiaoyue; Azarpazhooh, M Reza; Gan, Haitao; Ye, Zhiwei; Spence, J David; Xu, Xiangyang; Fenster, Aaron",2023,Mathematical biosciences and engineering : MBE,Segmentation,Carotid stenosis,Public,NR,NR,Public ,US,3D US of carotid,Segmentation and calculation of total plaque area,623 (1148 images),,"Unet",0,NR,70/30,DC=0.84,0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,,,,,,,
#559,https://dx.doi.org/10.1007/s10334-023-01066-2,Segmentation of the aorta in systolic phase from 4D flow MRI: multi-atlas vs. deep learning.,"Marin-Castrillon, Diana M; Geronzi, Leonardo; Boucher, Arnaud; Lin, Siyu; Morgant, Marie-Catherine; Cochet, Alexandre; Rochette, Michel; Leclerc, Sarah; Ambarki, Khalid; Jin, Ning; Aho, Ludwig Serge; Lalande, Alain; Bouchot, Olivier; Presles, Benoit",2023,"Magma (New York, N.Y.)",Segmentation,Aortic aneurysm,Retrospective (single),NR,NR,2 image analysts,MRI,4D flow MRI,Segmentation of aorta and pressure maps,36,N/A,Unet,0,leave-one-out,30/6',"DC=0.92, HD=21.2 mm",0,l,l,l,l,l,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#580,https://dx.doi.org/10.1007/s00330-022-09324-y,Deep learning based on carotid transverse B-mode scan videos for the diagnosis of carotid plaque: a prospective multicenter study.,"Liu, Jia; Zhou, Xinrui; Lin, Hui; Lu, Xue; Zheng, Jian; Xu, Erjiao; Jiang, Dianhu; Zhang, Hui; Yang, Xin; Zhong, Junlin; Hu, Xindi; Huang, Yuhao; Zhang, Yanling; Liang, Jiamin; Liu, Qin; Zhong, Min; Chen, Yuansen; Yan, Huixiang; Deng, Haowen; Zheng, Rongqin; Ni, Dong; Ren, Jie",2023,European radiology,Segmentation -> Diagnosis,Carotid stenosis,Prospective,2020,2021,radiologist,Video US,Transverse CA US video,Segmentation of plaque and vessel. Then diagnosis of stenosis,825 (1647 videos),,"YOLOv5 (segmentation), ResNet (classification)",1 (heatmap),leave-one-out,65/17/18,"Sens=0.8703, spec=0.8207, AUROC=0.845",1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,,,,,,,
#583,https://dx.doi.org/10.1016/j.ultrasmedbio.2022.11.005,Method for Carotid Artery 3-D Ultrasound Image Segmentation Based on CSWin Transformer.,"Lin, Yanping; Huang, Jianhua; Xu, Wangjie; Cui, Cancan; Xu, Wenzhe; Li, Zhaojun",2023,Ultrasound in medicine & biology,Segmentation,Carotid stenosis,Prospective  ,NR,NR,1 expert,US,Carotid US,"Segmentation of lumen, LIB and MAB for CCA",115 (213),104 images,CSWin+Unet,0,NR,60/20/20,MAB: DC=0.946. LIB: DC=0.908. ,,l,l,h,h,h,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,,,,,,,
#588,https://dx.doi.org/10.1111/cpf.12793,Common carotid segmentation in 18 F-sodium fluoride PET/CT scans: Head-to-head comparison of artificial intelligence-based and manual method.,"Piri, Reza; Hamakan, Yaran; Vang, Ask; Edenbrandt, Lars; Larsson, Mans; Enqvist, Olof; Gerke, Oke; Hoilund-Carlsen, Poul Flemming",2023,Clinical physiology and functional imaging,Segmentation,Carotid stenosis,Retrospective (single),2012,2014,2 experts,PETCT,PETCT of Common carotd,"Segmentation: mean, max, total uptake cacl",49,N/A,Unet + Squeeze-and-excitation,,NR,80/20,MAE=1.02,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,,,,,,,
#597,https://dx.doi.org/10.1016/j.ultras.2022.106826,Learning-based initialization for correntropy-based level sets to segment atherosclerotic plaque in ultrasound images.,"Qian, Chunjun; Su, Enjie; Ni, Xinye",2023,Ultrasonics,Segmentation,Carotid stenosis,Retrospective (single),NR,NR,2 experts,US,CarotidUS,Plaque segmentation,29 (80 images),N/A,AdaBoost + RF,0,leave-one-out,NR,"DC=0.906, overlap index=0.836",0,u,l,l,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,,,,,,,
#604,https://dx.doi.org/10.1177/15266028221105840,Deep Learning-Based Intraoperative Stent Graft Segmentation on Completion Digital Subtraction Angiography During Endovascular Aneurysm Repair.,"Kappe, Kaj O; Smorenburg, Stefan P M; Hoksbergen, Arjan W J; Wolterink, Jelmer M; Yeung, Kak Khee",2023,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,Segmentation,"EVAR, AAA",Retrospective (single),2017,2020,NR,DSA,DSA from completion (with stent graft),,47,,Unet,0,9-fold Cross validation,80/10',DC=0.957,0,l,l,h,h,h,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,,,,,,,
#607,https://dx.doi.org/10.1177/17085381221107465,Artificial intelligence and duplex ultrasound for detection of carotid artery disease.,"Kordzadeh, Ali; Askari, Alan; Abbassi, Omar Ahmad; Sanoudos, Nikolaos; Mohaghegh, Vahaj; Shirvani, Hassan",2023,Vascular,Diagnosis,Carotid stenosis,Prospective  ,N/A,N/A,NR,US,"Duplex US CCA, ICA and ECA",Diagnosis of caroid disease,156,N/A,VGG,1 (class activation mapping),NR,80/20,"Sesn=0.91, spec=0.86, acc=0.92",0,l,l,h,h,h,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
#623,https://dx.doi.org/10.1038/s41598-022-26486-3,Detection of acute thoracic aortic dissection based on plain chest radiography and a residual neural network (Resnet).,"Lee, Dong Keon; Kim, Jin Hyuk; Oh, Jaehoon; Kim, Tae Hyun; Yoon, Myeong Seong; Im, Dong Jin; Chung, Jae Ho; Byun, Hayoung",2022,Scientific reports,Diagnosis,Aortic dissection (Type B and Type A),Retrospective (multi),2003,2020,1 expert,Xray,Chest radiography,Diagnosis of thoracic aortic dissection,3331,716,RestNet,1 (grad-CAM),5-fold cross validation,80/20,"Acc=0.9020, precision=0.7500, recall=0.944, f1=0.8316",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,
#627,https://dx.doi.org/10.1016/j.jtherbio.2022.103370,Development of AI classification model for angiosome-wise interpretive substantiation of plantar feet thermal asymmetry in type 2 diabetic subjects using infrared thermograms.,"Evangeline N, Christy; Srinivasan, S; Suresh, E",2022,Journal of thermal biology,Segmentation->Diagnosis,Diabetic Foot,Prospective  ,N/A,N/A,NR,Thermograph,Foot thermograms,Diagnosis: symmetric or asymmetric (asx suggests Diabetic Foot),153,N/A,"Ensemble: SVM, k-NN, Bayes, RF, LR",,10-fold cross validation,67/33,acc=0.9607,1,l,l,u,l,u,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,,
