Reason, Covidence #, DOI, Title, Authors, Published Year, Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1926,https://dx.doi.org/10.1007/s10334-003-0030-8,Automatic segmentation and plaque characterization in atherosclerotic carotid artery MR images.,"Adame, I M; van der Geest, R J; Wasserman, B A; Mohamed, M A; Reiber, J H C; Lelieveldt, B P F",2004,"Magma (New York, N.Y.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1931,https://dx.doi.org/10.1007/978-3-540-45087-0_12,Adapting Active Shape Models for 3D segmentation of tubular structures in medical images.,"de Bruijne, Marleen; van Ginneken, Bram; Viergever, Max A; Niessen, Wiro J",2003,Information processing in medical imaging : proceedings of the ... conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1933,https://dx.doi.org/10.1002/mrm.10618,Quantitative assessment of carotid plaque composition using multicontrast MRI and registered histology.,"Clarke, Sharon E; Hammond, Robert R; Mitchell, J Ross; Rutt, Brian K",2003,Magnetic resonance in medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1939,https://dx.doi.org/10.1109/TMI.2003.815066,Texture-based classification of atherosclerotic carotid plaques.,"Christodoulou, C I; Pattichis, C S; Pantziaris, M; Nicolaides, A",2003,IEEE transactions on medical imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1951,https://dx.doi.org/10.1097/00004424-200212000-00008,Automatic determination of aortic compliance with cine-magnetic resonance imaging: an application of fuzzy logic theory.,"Lalande, Alain; Khau van Kien, Philippe; Salve, Nicolas; Ben Salem, Douraied; Legrand, Louis; Walker, Paul Michael; Wolf, Jean-Eric; Brunotte, Francois",2002,Investigative radiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1972,https://dx.doi.org/10.1109/42.938243,Validation of ultrasonic image boundary recognition in abdominal aortic aneurysm.,"Ravhon, R; Adam, D; Zelmanovitch, L",2001,IEEE transactions on medical imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#2087,https://dx.doi.org/10.1016/0002-9149(92)90623-7,Three-dimensional reconstruction of human carotid arteries from images obtained during noninvasive B-mode ultrasound examination.,"Rosenfield, K; Boffetti, P; Kaufman, J; Weinstein, R; Razvi, S; Isner, J M",1992,The American journal of cardiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#2166,https://dx.doi.org/10.1016/j.bspc.2024.106559,MAPI-Net: A context and location fusion network for multi-lesion segmentation in intravascular OCT,Su W.; Zhili H.; Zixuan W.; Qiyong L.; Jinsong L. ,2024,Biomedical Signal Processing and Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1391,https://dx.doi.org/10.1016/j.compmedimag.2015.01.007,Standard and fenestrated endograft sizing in EVAR planning: Description and validation of a semi-automated 3D software.,"Macia, Ivan; de Blas, Mariano; Legarreta, Jon Haitz; Kabongo, Luis; Hernandez, Oscar; Egana, Jose Maria; Emparanza, Jose Ignacio; Garcia-Familiar, Ainhoa; Grana, Manuel",2016,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1412,https://dx.doi.org/10.1007/s10334-015-0495-2,Repeatability of in vivo quantification of atherosclerotic carotid artery plaque components by supervised multispectral classification.,"Gao, Shan; van 't Klooster, Ronald; van Wijk, Diederik F; Nederveen, Aart J; Lelieveldt, Boudewijn P F; van der Geest, Rob J",2015,"Magma (New York, N.Y.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1416,https://dx.doi.org/10.1016/j.ultrasmedbio.2015.03.022,Automated Framework for Detecting Lumen and Media-Adventitia Borders in Intravascular Ultrasound Images.,"Gao, Zhifan; Hau, William Kongto; Lu, Minhua; Huang, Wenhua; Zhang, Heye; Wu, Wanqing; Liu, Xin; Zhang, Yuan-Ting",2015,Ultrasound in medicine & biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1443,https://dx.doi.org/10.1016/j.jvs.2013.11.065,Validation of semiautomated and locally resolved aortic wall thickness measurements from computed tomography.,"Shang, Eric K; Lai, Eric; Pouch, Alison M; Hinmon, Robin; Gorman, Robert C; Gorman, Joseph H 3rd; Sehgal, Chandra M; Ferrari, Giovanni; Bavaria, Joseph E; Jackson, Benjamin M",2015,Journal of vascular surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1450,https://dx.doi.org/10.1109/EMBC.2014.6944680,A semi-automated image segmentation approach for computational fluid dynamics studies of aortic dissection.,"Anderson, Jeff R; Karmonik, Christof; Georg, Yannick; Bismuth, Jean; Lumsden, Alan B; Schwein, Adeline; Ohana, Mickael; Thaveau, Fabien; Chakfe, Nabil",2014,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1454,,A proposal of Texture Features for interactive CTA Segmentation by Active Learning.,"Maiora, J; Papakostas, G A; Kaburlasos, V G; Grana, M",2014,Studies in health technology and informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1461,,Computer Aided Detection and measurement of peripheral artery disease.,"Dehmeshki, Jamshid; Ion, Adina; Ellis, Tim; Doenz, Francesco; Jouannic, Anne-Marie; Qanadli, Salah",2014,Studies in health technology and informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1465,https://dx.doi.org/10.1109/TIP.2014.2332761,Robust carotid artery recognition in longitudinal B-mode ultrasound images.,"Sifakis, Emmanouil G; Golemati, Spyretta",2014,IEEE transactions on image processing : a publication of the IEEE Signal Processing Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1471,https://dx.doi.org/10.1371/journal.pone.0094840,Atherosclerotic plaque component segmentation in combined carotid MRI and CTA data incorporating class label uncertainty.,"van Engelen, Arna; Niessen, Wiro J; Klein, Stefan; Groen, Harald C; Verhagen, Hence J M; Wentzel, Jolanda J; van der Lugt, Aad; de Bruijne, Marleen",2014,PloS one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1474,https://dx.doi.org/10.1016/j.cmpb.2014.03.004,Computer-supported diagnosis for endotension cases in endovascular aortic aneurysm repair evolution.,"Garcia, G; Tapia, A; De Blas, M",2014,Computer methods and programs in biomedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1492,https://dx.doi.org/10.1016/j.compmedimag.2013.12.001,Robust segmentation methods with an application to aortic pulse wave velocity calculation.,"Babin, Danilo; Devos, Daniel; Pizurica, Aleksandra; Westenberg, Jos; Vansteenkiste, Ewout; Philips, Wilfried",2014,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1504,https://dx.doi.org/10.1016/j.media.2013.09.004,Semi-automatic segmentation and detection of aorta dissection wall in MDCT angiography.,"Krissian, Karl; Carreira, Jose M; Esclarin, Julio; Maynar, Manuel",2014,Medical image analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1520,https://dx.doi.org/10.1371/journal.pone.0078492,An objective method to optimize the MR sequence set for plaque classification in carotid vessel wall images using automated image segmentation.,"van 't Klooster, Ronald; Patterson, Andrew J; Young, Victoria E; Gillard, Jonathan H; Reiber, Johan H C; van der Geest, Rob J",2013,PloS one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1524,https://dx.doi.org/10.1016/j.ultrasmedbio.2013.07.007,Fully automatic plaque segmentation in 3-D carotid ultrasound images.,"Cheng, Jieyu; Li, He; Xiao, Feng; Fenster, Aaron; Zhang, Xuming; He, Xiaoling; Li, Ling; Ding, Mingyue",2013,Ultrasound in medicine & biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1530,https://dx.doi.org/10.3109/10929088.2013.816978,A hybrid method based on level set and 3D region growing for segmentation of the thoracic aorta.,"Martinez-Mera, Juan Antonio; Tahoces, Pablo G; Carreira, Jose M; Suarez-Cuenca, Jorge Juan; Souto, Miguel",2013,Computer aided surgery : official journal of the International Society for Computer Aided Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1535,https://dx.doi.org/10.1118/1.4803461,Automatic quantitative analysis of in-stent restenosis using FD-OCT in vivo intra-arterial imaging.,"Mandelias, Kostas; Tsantis, Stavros; Spiliopoulos, Stavros; Katsakiori, Paraskevi F; Karnabatidis, Dimitris; Nikiforidis, George C; Kagadis, George C",2013,Medical physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#263,https://dx.doi.org/10.1016/j.cmpb.2023.107871,CASMatching strategy for automated detection and quantification of carotid artery stenosis based on digital subtraction angiography.,"Wulamu, Aziguli; Luo, Jichang; Chen, Saian; Zheng, Han; Wang, Tao; Yang, Renjie; Jiao, Liqun; Zhang, Taohong",2024,Computer methods and programs in biomedicine,Diagnosis + Quantification,Carotid stenosis,Manufacturer Xray,2018,2022,Neuroradiologist (bounding boxes ground truth),DSA,DSA of carotids,"Vessel diameter, minimum lumen dimaeter, stenosis degree",1268,,Matching strategy (get matchness of bounding box of carotid segment vs. carotid stenosis segment). Custom model. Regression,,10-fold cross validation,,"MAE 0.378, 0.221, 4.9 for vessel diam, lumen diam and stenosis degree respectively",0,u,l,l,l,l,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0
Not CV,#306,https://dx.doi.org/10.1016/j.compbiomed.2023.107091,Refined Feature-based Multi-frame and Multi-scale Fusing Gate network for accurate segmentation of plaques in ultrasound videos.,"Hu, Xifeng; Cao, Yankun; Hu, Weifeng; Zhang, Wenzhen; Li, Jing; Wang, Chuanyu; Mukhopadhyay, Subhas Chandra; Li, Yujun; Liu, Zhi; Li, Shuo",2023,Computers in biology and medicine,Segmentation,Carotid stenosis,Public,NR,NR,2 experts,video US ,Carotid US video,Frame by frame segmentation of the carotid plaque,292,N/A,Refined Feature-based Multi-frame and Multi-scale Fusing Gate Network,0,5-fold cross validation,"Custom (3:1:6, 5:1:4 and 3:1:1)",Not well recorded,0,u,l,h,h,l,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
Not CV,#540,https://dx.doi.org/10.1016/j.compbiomed.2023.106892,A learnable Gabor Convolution kernel for vessel segmentation.,"Chen, Cheng; Zhou, Kangneng; Qi, Siyu; Lu, Tong; Xiao, Ruoxiu",2023,Computers in biology and medicine,Segmentation,General (vessel segmentation),Public,NR,NR,2 clinicians,MRA+CT,Various CT and MRA,Segmentation of vessels,142,N/A,Gabor convolution kernels,1 (Feature Maps),NR,80/20,DC=0.74,0,u,l,l,h,l,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Not CV,#695,https://dx.doi.org/10.1016/j.jvs.2022.03.891,Fully automatic volume segmentation using deep learning approaches to assess aneurysmal sac evolution after infrarenal endovascular aortic repair.,"Caradu, Caroline; Pouncey, Anna-Louise; Lakhlifi, Emilie; Brunet, Celine; Berard, Xavier; Ducasse, Eric",2022,Journal of vascular surgery,Segmentation + Quantification,AAA (EVAR),Retrospective (single),NR,NR,Surgeon,CT ,CT of aorta,Segmentation of aneurysm. Calculation of diameter,48,N/A,PRAEVAorta (Software),0,Pre-trained,Pre-trained (software),"DC=0.95, Sens=0.929, JI=0.906, spec=0.965, HD=8.7 mm, time reduction = 0.11",0,l,l,u,u,l,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
Not CV,#1337,https://dx.doi.org/10.21037/cdt.2019.09.01,Ultrasound-based carotid stenosis measurement and risk stratification in diabetic cohort: a deep learning paradigm.,"Saba, Luca; Biswas, Mainak; Suri, Harman S; Viskovic, Klaudija; Laird, John R; Cuadrado-Godia, Elisa; Nicolaides, Andrew; Khanna, N N; Viswanathan, Vijay; Suri, Jasjit S",2019,Cardiovascular diagnosis and therapy,Segmentation->Diagnosis,Carotid stenosis,Retrospective, NR,NR,Radiologists ,US ,US of CCA ,"Classification: low, mod, high risk",204 (407 images),N/A,"Atheroedge (software), FCN ",0,10-fold cross validation,90/10',AUROC=0.94 ,0,u,l,l,l,l,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Not CV,#1321,https://dx.doi.org/10.1016/j.jstrokecerebrovasdis.2016.09.045,Automatic Algorithm for Segmentation of Atherosclerotic Carotid Plaque.,"Bonanno, Lilla; Sottile, Fabrizio; Ciurleo, Rosella; Di Lorenzo, Giuseppe; Bruschetta, Daniele; Bramanti, Alessia; Ascenti, Giorgio; Bramanti, Placido; Marino, Silvia",2017,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,Segmentation,Carotid stenosis,Prospective,,,sonographer,US,Carotid US,"Segmentation of plaque. Then quantification of permieter, area and intensity. Then diagnosis from segmentation",44,22,Snakes ,1,NR,NR,"Correlation coeff=0.83, acc-0.82, sens=0.79, spec=0.85, AUROC=0.77",0,h,l,l,h,l,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Not CV,#1294,https://dx.doi.org/10.1002/mp.12476,Learning-based automated segmentation of the carotid artery vessel wall in dual-sequence MRI using subdivision surface fitting.,"Gao, Shan; van 't Klooster, Ronald; Kitslaar, Pieter H; Coolen, Bram F; van den Berg, Alexandra M; Smits, Loek P; Shahzad, Rahil; Shamonin, Denis P; de Koning, Patrick J H; Nederveen, Aart J; van der Geest, Rob J",2017,Medical physics,Segmentation,Carotid stenosis,Prospective ,N/A,N/A,2 radiologists,MRI  ,MRI of carotids,"1. Vessel skeleton detection, 2. Hierarchical-tree model initialization for carotid lumen, fitting for lumen segmentation",35,20,Tree model,0,NR,70/30 ,"DC=0.873 (TL), 0.894 (FL)",0,h,l,l,h,l,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Not CV,#1183,https://dx.doi.org/10.1038/s41598-019-50251-8,A fully automated pipeline for mining abdominal aortic aneurysm using image segmentation.,"Lareyre, Fabien; Adam, Cedric; Carrier, Marion; Dommerc, Carine; Mialhe, Claude; Raffort, Juliette",2019,Scientific reports,Diagnosis,AAA ,Prospective,N/A,N/A,1 vascular surgeon,CTA ,CTA of aorta,"Segmentation of lumen, thrombus and calcifications",40 (433 images),N/A,Snakes ,0,NR,70/30,DC=0.86,0,l,l,l,h,l,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Not CV,#7820,,Vessel Centerline Tracking in CTA and MRA Images Using Hough Transform,"Macedo, MMG; Mekkaoui, C; Jackowski, MP",2010,"PROGRESS IN PATTERN RECOGNITION, IMAGE ANALYSIS, COMPUTER VISION, AND APPLICATIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1376,https://dx.doi.org/10.1002/jcu.22334,Carotid inter-adventitial diameter is more strongly related to plaque score than lumen diameter: An automated tool for stroke analysis.,"Saba, Luca; Araki, Tadashi; Kumar, P Krishna; Rajan, Jeny; Lavra, Francesco; Ikeda, Nobutaka; Sharma, Aditya M; Shafique, Shoaib; Nicolaides, Andrew; Laird, John R; Gupta, Ajay; Suri, Jasjit S",2016,Journal of clinical ultrasound : JCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7756,10.1007/978-3-031-43907-0_14,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"Dima, AF; Zimmer, VA; Menten, MJ; Li, HB; Graf, M; Lemke, T; Raffler, P; Graf, R; Kirschke, JS; Braren, R; Rueckert, D",2023,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION, MICCAI 2023, PT I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7769,10.1109/TMI.2020.2975231,A Voxel-Based Fully Convolution Network and Continuous Max-Flow for Carotid Vessel-Wall-Volume Segmentation From 3D Ultrasound Images,"Zhou, R; Guo, FM; Azarpazhooh, MR; Spence, JD; Ukwatta, E; Ding, MY; Fenster, A",2020,IEEE TRANSACTIONS ON MEDICAL IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7772,10.1002/mp.13960,"Automated 3D geometry segmentation of the healthy and diseased carotid artery in free-hand, probe tracked ultrasound images","de Ruijter, J; van Sambeek, M; van de Vosse, F; Lopata, R",2020,MEDICAL PHYSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7782,10.1007/978-3-319-73317-3_33,Automated Segmentation of Carotid Artery Vessel Wall in MRI,"Wang, B; Sha, G; Yin, PJ; Liu, X",2018,ADVANCED HYBRID INFORMATION PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7799,10.1118/1.4915925,Semiautomatic segmentation of atherosclerotic carotid artery wall volume using 3D ultrasound imaging,"Hossain, MM; AlMuhanna, K; Zhao, LM; Lal, BK; Sikdar, S",2015,MEDICAL PHYSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7800,10.1016/j.ultrasmedbio.2014.09.004,VALIDATION OF A COMPUTER-AIDED DIAGNOSIS SYSTEM FOR THE AUTOMATIC IDENTIFICATION OF CAROTID ATHEROSCLEROSIS,"Bonanno, L; Marino, S; Bramanti, P; Sottile, F",2015,ULTRASOUND IN MEDICINE AND BIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7802,10.1117/12.2176386,Automated Calculation Of Bifurcation Carotid Angle For Analyzing The Risk Of Carotis Plaques By Using Carotid Ct Angiographic Images,"Demir, N; Demir, S",2015,SMART BIOMEDICAL AND PHYSIOLOGICAL SENSOR TECHNOLOGY XII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7803,10.1007/978-3-319-24574-4_66,Graph-Based Motion-Driven Segmentation of the Carotid Atherosclerotique Plaque in 2D Ultrasound Sequences,"Gastounioti, A; Sotiras, A; Nikita, KS; Paragios, N",2015,"MEDICAL IMAGE COMPUTING AND COMPUTER-ASSISTED INTERVENTION, PT III",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7811,10.1118/1.4800797,Three-dimensional segmentation of three-dimensional ultrasound carotid atherosclerosis using sparse field level sets,"Ukwatta, E; Yuan, J; Buchanan, D; Chiu, B; Awad, J; Qiu, W; Parraga, G; Fenster, A",2013,MEDICAL PHYSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7815,10.1109/ULTSYM.2011.0344,Segmentation of Atherosclerotic Plaque Components in Ultrasonic B-mode Images Using a Multiphase Bayesian Level-Set,"IEEE; Porée, J; Destrempes, F; Soulez, G; Cloutier, G",2011,2011 IEEE INTERNATIONAL ULTRASONICS SYMPOSIUM (IUS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7512,10.1109/TBME.2012.2214387,Segmentation of the Common Carotid Intima-Media Complex in Ultrasound Images Using Active Contours,"Petroudi, S; Loizou, C; Pantziaris, M; Pattichis, C",2012,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7388,10.1117/12.770610,True-false lumen segmentation of aortic dissection using multi-scale wavelet analysis and generative-discriminative model matching,"Lee, N; Tek, H; Laine, AF",2008,"MEDICAL IMAGING 2008: COMPUTER-AIDED DIAGNOSIS, PTS 1 AND 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7392,10.1117/12.312555,Automated analysis of brachial ultrasound time series,"Liang, WD; Browning, R; Lauer, R; Sonka, M",1998,PHYSIOLOGY AND FUNCTION FROM MULTIDIMENSIONAL IMAGES - MEDICAL IMAGING 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7404,10.1109/TIP.2011.2169270,Completely Automated Multiresolution Edge Snapper-A New Technique for an Accurate Carotid Ultrasound IMT Measurement: Clinical Validation and Benchmarking on a Multi-Institutional Database,"Molinari, F; Pattichis, CS; Zeng, G; Saba, L; Acharya, UR; Sanfilippo, R; Nicolaides, A; Suri, JS",2012,IEEE TRANSACTIONS ON IMAGE PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7414,10.1109/ACCESS.2020.3040616,Automated Artery Localization and Vessel Wall Segmentation Using Tracklet Refinement and Polar Conversion,"Chen, L; Sun, J; Canton, G; Balu, N; Hippe, DS; Zhao, XH; Li, R; Hatsukami, TS; Hwang, JN; Yuan, C",2020,IEEE ACCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7417,10.1016/j.procs.2018.08.006,A robust anisotropic edge detection method for carotid ultrasound image processing,"Rouco, J; Carvalho, C; Domingues, A; Azevedo, E; Campilho, A",2018,KNOWLEDGE-BASED AND INTELLIGENT INFORMATION & ENGINEERING SYSTEMS (KES-2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7422,10.1007/978-3-030-87240-3_30,MBFF-Net: Multi-Branch Feature Fusion Network for Carotid Plaque Segmentation in Ultrasound,"Mi, SY; Bao, QQ; Wei, ZH; Xu, F; Yang, WM",2021,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2021, PT V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7428,10.1109/TMI.2023.3287200,Robust Vascular Segmentation for Raw Complex Images of Laser Speckle Contrast Based on Weakly Supervised Learning,"Fu, SZ; Xu, J; Chang, SL; Yang, LY; Ling, ST; Cai, JH; Chen, JY; Yuan, JC; Cai, Y; Zhang, B; Huang, ZC; Yang, K; Sui, WH; Xue, LY; Zhao, QL",2024,IEEE TRANSACTIONS ON MEDICAL IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7434,,Automatic Estimation Of The Arterial Parameters In Ultrasound Video Sequence,"Omran, Y; Riha, K; Dutta, MK",2013,2013 36TH INTERNATIONAL CONFERENCE ON TELECOMMUNICATIONS AND SIGNAL PROCESSING (TSP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7436,10.1111/cpf.12428,Automated ultrasound edge-tracking software comparable to established semi-automated reference software for carotid intima-media thickness analysis,"Shenouda, N; Proudfoot, NA; Currie, KD; Timmons, BW; MacDonald, MJ",2018,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7440,,Dual Fuzzy-Snake Model for IMT measurement in carotid ultrasound images of low- and high-risk patients,"IEEE; Rosati, S; Balestra, G; Molinari, F",2014,2014 IEEE-EMBS INTERNATIONAL CONFERENCE ON BIOMEDICAL AND HEALTH INFORMATICS (BHI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#7448,,SEGMENTATION OF THE CAROTID ARTERY IN ULTRASOUND IMAGES USING FREQUENCY-DESIGNED B-SPLINE ACTIVE CONTOUR,"IEEE; Izquierdo-Zaragoza, JL; Bastida-Jumilla, MC; Verdú-Monedero, R; Morales-Sánchez, J; Berenguer-Vidal, R",2011,"2011 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
